Country Name,Course Lavel,University Name,Course,Ranking
Iceland,Undergraduate,Accounting and Finance,Reykjavik University,
Iceland,Undergraduate,Biological Sciences,Reykjavik University,
Iceland,Undergraduate,Business & Management Studies,Reykjavik University,
Iceland,Undergraduate,Computer Science and Information Systems,Reykjavik University,
Iceland,Undergraduate,Engineering - Civil and Structural,Reykjavik University,
Iceland,Undergraduate,Engineering - Electrical and Electronic,Reykjavik University,
Iceland,Undergraduate,Engineering - General,Reykjavik University,
Iceland,Undergraduate,International Relations/Studies/Affairs,Reykjavik University,
Iceland,Undergraduate,Sports-related Courses,Reykjavik University,
Iceland,Postgraduate,Accounting and Finance,Reykjavik University,
Iceland,Postgraduate,Biological Sciences,Reykjavik University,
Iceland,Postgraduate,Business & Management Studies,Reykjavik University,
Iceland,Postgraduate,Computer Science and Information Systems,Reykjavik University,
Iceland,Postgraduate,Engineering - Civil and Structural,Reykjavik University,
Iceland,Postgraduate,Engineering - Electrical and Electronic,Reykjavik University,
Iceland,Postgraduate,Engineering - General,Reykjavik University,
Iceland,Postgraduate,International Relations/Studies/Affairs,Reykjavik University,
Iceland,Postgraduate,Sports-related Courses,Reykjavik University,

