Country Name,Course Lavel,University Name,Course,Ranking
Bulgaria,Undergraduate,Accounting and Finance,University of Economics - Varna,
Bulgaria,Undergraduate,Business & Management Studies,University of Economics - Varna,
Bulgaria,Undergraduate,Business & Management Studies,Varna University of Management,
Bulgaria,Undergraduate,Computer Science and Information Systems,University of Economics - Varna,
Bulgaria,Undergraduate,Computer Science and Information Systems,Varna University of Management,
Bulgaria,Undergraduate,Economics and Econometrics,University of Economics - Varna,
Bulgaria,Undergraduate,English Language and Literature,University of Economics - Varna,
Bulgaria,Undergraduate,Finance,University of Economics - Varna,
Bulgaria,Undergraduate,Hospitality & Leisure Management,University of Economics - Varna,
Bulgaria,Undergraduate,Human Resources Management,University of Economics - Varna,
Bulgaria,Undergraduate,International Relations/Studies/Affairs,University of Economics - Varna,
Bulgaria,Undergraduate,Logistics / Supply Chain Management,University of Economics - Varna,
Bulgaria,Undergraduate,Marketing,University of Economics - Varna,
Bulgaria,Postgraduate,Accounting and Finance,University of Economics - Varna,
Bulgaria,Postgraduate,Business & Management Studies,Varna University of Management,
Bulgaria,Postgraduate,Business & Management Studies,University of Economics - Varna,
Bulgaria,Postgraduate,Computer Science and Information Systems,University of Economics - Varna,
Bulgaria,Postgraduate,Computer Science and Information Systems,Varna University of Management,
Bulgaria,Postgraduate,Economics and Econometrics,University of Economics - Varna,
Bulgaria,Postgraduate,English Language and Literature,University of Economics - Varna,
Bulgaria,Postgraduate,Finance,University of Economics - Varna,
Bulgaria,Postgraduate,Hospitality & Leisure Management,University of Economics - Varna,
Bulgaria,Postgraduate,Human Resources Management,University of Economics - Varna,
Bulgaria,Postgraduate,International Relations/Studies/Affairs,University of Economics - Varna,
Bulgaria,Postgraduate,Logistics / Supply Chain Management,University of Economics - Varna,
Bulgaria,Postgraduate,Marketing,University of Economics - Varna,

