Id,Country,University Name,logo local Location,Logo live URL,bg image local,bg image live URL,University node URL,University Url,Status,Research Output,Total Students,Academic Faculty Staff
"0","null","Manav Rachna International Uni ...""null","","null","null","/node/309665","null","null","null","null","null"
"0","null","Galgotias University""null","","null","null","/node/295565","null","null","null","null","null"
"0","null","MAHARISHI MARKANDESHWAR UNIVERSITY""null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/maharishi-markandeshwar-university_592560e79988f300e2322133_medium.jpg","null","null","/node/309778","null","null","null","null","null"
"0","null","Vellore Institute of Technolog ...""null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/vit-university-private-for-non-profit_592560cf2aeae70239af4e26_medium.jpg","null","null","/node/297297","null","null","null","null","null"
"0","null","Hindustan University, Chennai""null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/hindustan-university-chennai-madras_592560e69988f300e2321cd9_medium_8.jpg","null","null","/node/309753","null","null","null","null","null"
"0","null","SRM University""null","","null","null","/node/294318","null","null","null","null","null"
"0","null","University of Petroleum and En ...""null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/university-of-petroleum-and-energy-studies-upes_24614_medium_0.jpg","null","null","/node/328355","null","null","null","null","null"
"0","null","O.P.Jindal Global University""null","","null","null","/node/294371","null","null","null","null","null"
"0","null","JSS Academy of Higher Educatio ...""null","","null","null","/node/295502","null","null","null","null","null"
"0","null","Indian Institute of Science""null","","null","null","/node/294244","null","null","null","null","null"
"0","null","Jawaharlal Nehru University""null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/jawaharlal-nehru-university_302_medium.jpg","null","null","/node/294191","null","null","null","null","null"
"0","null","Indian Institute of Technology ...""null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/indian-institute-of-technology-delhi-iitd_282_medium.jpg","null","null","/node/294242","null","null","null","null","null"
