Country Name,Course Lavel,University Name,Course,Ranking
Indonesia,Undergraduate,Chemistry,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Chemistry,Sriwijaya University,
Indonesia,Undergraduate,Classics & Ancient History,Universitas Sebelas Maret,
Indonesia,Undergraduate,Classics & Ancient History,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Classics & Ancient History,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Communication and Media Studies,Universitas Islam Indonesia,
Indonesia,Undergraduate,Communication and Media Studies,University of Brawijaya,
Indonesia,Undergraduate,Communication and Media Studies,Telkom University,
Indonesia,Undergraduate,Communication and Media Studies,Universitas Sebelas Maret,
Indonesia,Undergraduate,Communication and Media Studies,Ahmad Dahlan University,
Indonesia,Undergraduate,Communication and Media Studies,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Communication and Media Studies,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Communication and Media Studies,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Communication and Media Studies,Universitas Mercu Buana,
Indonesia,Undergraduate,Communication and Media Studies,Bakrie University,
Indonesia,Undergraduate,Computer Science and Information Systems,University of Brawijaya,
Indonesia,Undergraduate,Computer Science and Information Systems,Telkom University,
Indonesia,Undergraduate,Computer Science and Information Systems,University of Surabaya,
Indonesia,Undergraduate,Computer Science and Information Systems,Universitas Sebelas Maret,
Indonesia,Undergraduate,Computer Science and Information Systems,Ahmad Dahlan University,
Indonesia,Undergraduate,Computer Science and Information Systems,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Computer Science and Information Systems,Bandung Institute of Technolog ...,#=331 QS World University Rankings 2018
Indonesia,Undergraduate,Computer Science and Information Systems,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Computer Science and Information Systems,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Computer Science and Information Systems,Udayana University,
Indonesia,Undergraduate,Computer Science and Information Systems,Bakrie University,
Indonesia,Undergraduate,Computer Science and Information Systems,Sriwijaya University,
Indonesia,Undergraduate,Computer Science and Information Systems,Universitas Mercu Buana,
Indonesia,Undergraduate,Dentistry,University of Brawijaya,
Indonesia,Undergraduate,Dentistry,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Dentistry,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Dentistry,Sriwijaya University,
Indonesia,Undergraduate,Development Studies,Universitas Sebelas Maret,
Indonesia,Undergraduate,Development Studies,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Earth and Marine Sciences,University of Brawijaya,
Indonesia,Undergraduate,Earth and Marine Sciences,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Earth and Marine Sciences,Bandung Institute of Technolog ...,#=331 QS World University Rankings 2018
Indonesia,Undergraduate,Earth and Marine Sciences,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Earth and Marine Sciences,Sriwijaya University,
Indonesia,Undergraduate,Economics and Econometrics,Universitas Islam Indonesia,
Indonesia,Undergraduate,Economics and Econometrics,University of Brawijaya,
Indonesia,Undergraduate,Economics and Econometrics,Ahmad Dahlan University,
Indonesia,Undergraduate,Economics and Econometrics,Universitas Sebelas Maret,
Indonesia,Undergraduate,Economics and Econometrics,University of Surabaya,
Indonesia,Undergraduate,Economics and Econometrics,Telkom University,
Indonesia,Undergraduate,Economics and Econometrics,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Economics and Econometrics,Airlangga University,#701-750 QS World University Rankings 2018
Indonesia,Undergraduate,Economics and Econometrics,Bogor Agricultural University,#751-800 QS World University Rankings 2018
Indonesia,Undergraduate,Economics and Econometrics,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Economics and Econometrics,Sriwijaya University,
Indonesia,Undergraduate,Education and Training,Universitas Sebelas Maret,
Indonesia,Undergraduate,Education and Training,Ahmad Dahlan University,
Indonesia,Undergraduate,Education and Training,Sriwijaya University,
Indonesia,Undergraduate,Engineering - Aeronautical,Ahmad Dahlan University,
Indonesia,Undergraduate,Engineering - Aeronautical,Universitas Indonesia,#=277 QS World University Rankings 2018
Indonesia,Undergraduate,Engineering - Aeronautical,Bandung Institute of Technolog ...,#=331 QS World University Rankings 2018
Indonesia,Undergraduate,Engineering - Aeronautical,Diponegoro University,#801-1000 QS World University Rankings 2018
Indonesia,Undergraduate,Engineering - Aeronautical,Sriwijaya University,
Indonesia,Undergraduate,Engineering - Chemical,Universitas Islam Indonesia,
Indonesia,Undergraduate,Engineering - Chemical,University of Brawijaya,
Indonesia,Undergraduate,Engineering - Chemical,University of Surabaya,
Indonesia,Undergraduate,Engineering - Chemical,Ahmad Dahlan University,
Indonesia,Undergraduate,Engineering - Chemical,Universitas Sebelas Maret,
Indonesia,Undergraduate,Engineering - Chemical,Universitas Indonesia,#=277 QS World University Rankings 2018
