College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Dr VRK Women's Medical College, Rangareddi","6.9/10","Rangareddi, Telangana","","-- MBBS",,
"Government Medical College, Kota","6.9/10","Kota, Rajasthan","MCI","₹9.09 K / yr MBBS - avg fee",,"1.2 / 5 1 reviews"
"Konaseema Institute of Medical Sciences & Research Foundation - [KIMS], East Godavari","6.9/10","East Godavari, Andhra Pradesh","MCI","-- MBBS",,"3.5 / 5 1 reviews"
"Sri Aurobindo Institute of Medical Sciences - [SAIMS], Indore","6.9/10","Indore, Madhya Pradesh","MCI","₹6.36 L / yr MBBS - avg fee",,""
"PSG Institute of Medical Sciences and Research - [PSGIMSR], Coimbatore","6.9/10","Coimbatore, Tamil Nadu","MCI","₹1.8 L / yr MBBS - avg fee",,"2.9 / 5 1 reviews"
"Maharaja Krishna Chandra Gajapati Medical College and Hospital - [MKCG], Berhampur","6.9/10","Berhampur, Orissa","MCI","₹29.2 K / yr MBBS - avg fee",,"2.5 / 5 3 reviews"
"Army College of Medical Science - [ACMS], New Delhi","6.9/10","New Delhi, Delhi NCR","MCI","₹3.51 L / yr MBBS - avg fee",,
"Pandit Deendayal Upadhyay Medical College - [PDUMC], Rajkot","6.9/10","Rajkot, Gujarat","MCI","₹6 K / yr MBBS - avg fee",,"4.7 / 5 2 reviews"
"C. U. Shah Medical College - [CUSMC], Surendra Nagar","6.9/10","Surendra Nagar, Gujarat","MCI","₹3.75 L / yr MBBS - avg fee",,""
"Jawaharlal Nehru Medical College - [JLNMC], Bhagalpur","6.9/10","Bhagalpur, Bihar","AICTE","₹6 K / yr MBBS - avg fee",,"3.7 / 5 2 reviews"
"PES Institute of Medical Sciences and Research - [PESIMSR], Kuppam","6.9/10","Kuppam, Andhra Pradesh","MCI, AICTE, NAAC, NBA","₹10.4 L / yr MBBS - avg fee",,"4.2 / 5 5 reviews"
"Siksha 'O' Anusandhan University - [SOA], Bhubaneswar","6.9/10","Bhubaneswar, Orissa","UGC, NAAC-A","₹97 K / yr B.Sc (Nursing) - a...",,""
"Deccan College of Medical Sciences, Hyderabad","6.9/10","Hyderabad, Telangana","MCI","₹9.45 L / yr MBBS - avg fee",,"3 / 5 5 reviews"
"Dr. B.R. Ambedkar Medical College - [BRAMC], Bangalore","6.9/10","Bangalore, Karnataka","MCI","₹3.57 L / yr MBBS - avg fee",,"2.6 / 5 1 reviews"
"Katuri Medical College and Hospital, Guntur","6.9/10","Guntur, Andhra Pradesh","MCI","-- MBBS",,""
"Madurai Medical College, Madurai","6.9/10","Madurai, Tamil Nadu","MCI","₹13.6 K / yr MBBS - avg fee",,"3.7 / 5 2 reviews"
