College                         			 					,Rating               			,Location									,Affiliate 					,Average Fee 								,Exam Accepted								,Review									
"Rajasthan University of Health Sciences - [RUHS], Jaipur","7.2/10","Jaipur, Rajasthan","DCI, MCI, UGC","₹70 K / yr B.Sc (Medicine) - ...",,""
"OPJS University, Churu","7.2/10","Churu, Rajasthan","NCTE, COA, BCI, AICTE, UGC","₹51.1 K / yr Bachelor of Physio...",,"3.6 / 5 10 reviews"
"Manav Rachna International Institute of Research and Studies - [MRIIRS], Faridabad","7.1/10","Faridabad, Haryana","UGC, NBA, NAAC-A","₹1.52 L / yr Bachelor of Physio...",,"3.7 / 5 40 reviews"
"Chaudhary Charan Singh University - [CCS], Meerut","7.1/10","Meerut, Uttar Pradesh","UGC, NAAC-B","₹78.5 K / yr M.Sc (Medicine) - ...",,""
"The Oxford Dental College and Hospital, Bangalore","7.1/10","Bangalore, Karnataka","DCI, NAAC-A","-- Diploma in Medical",,""
"Ansal University- [AU], Gurgaon","7.0/10","Gurgaon, Haryana","UGC","₹1.02 L / yr B.Sc (Medicine) - ...",,""
"Chitkara University - [CU], Chandigarh","7.0/10","Chandigarh, Chandigarh","NCTE, PCI, INC, UGC","₹83.5 K / yr Bachelor of Physio...",,"4.2 / 5 42 reviews"
"Sikkim Manipal University - [SMU], East Sikkim","7.0/10","East Sikkim, Sikkim","AICTE, INC, MCI, IAP, UGC","₹73.3 K / yr B.Sc (Medicine) - ...",,"3.6 / 5 32 reviews"
"Dr. D.Y. Patil Vidya Pratishthan Society's, Pune","6.9/10","Pune, Maharashtra","NCTE, AICTE, NAAC, NBA","-- BHMS",,"3.4 / 5 2 reviews"
"Pandit Bhagwat Dayal Sharma University of Health Sciences, Rohtak","6.9/10","Rohtak, Haryana","MCI, UGC","₹11 K / yr Bachelor of Physio...",,""
"PCTE Group of Institutes, Ludhiana","6.9/10","Ludhiana, Punjab","AICTE","₹50 K / yr B.Sc (Medicine) - ...",,""
"Desh Bhagat University - [DBU], Gobindgarh","6.8/10","Gobindgarh, Punjab","UGC","₹1.82 L / yr BAMS - avg fee",,"3.3 / 5 11 reviews"
"Kerala University of Health Sciences - [KUHS], Thrissur","6.8/10","Thrissur, Kerala","UGC","₹25 K / yr BAMS - avg fee",,""
"Bahra University - [BU], Shimla","6.8/10","Shimla, Himachal Pradesh","PCI, BCI, UGC","₹69.9 K / yr Bachelor of Physio...",,""
"Lord Shiva College of Pharmacy, Sirsa","6.8/10","Sirsa, Haryana","PCI, AICTE","₹41.6 K / yr UG Diploma in Medi...",,""
"University of Mysore - [UOM], Mysore","6.8/10","Mysore, Karnataka","UGC, NAAC-A, AIU","₹31.6 K / yr M.Phil/Ph.D in Med...",,""
"ITM University, Gwalior","6.8/10","Gwalior, Madhya Pradesh","AICTE, NAAC, UGC","₹65 K / yr B.Sc (Nursing) - a...",,"3.8 / 5 50 reviews"
"Gujarat Ayurved University - [GAU], Jamnagar","6.7/10","Jamnagar, Gujarat","CCIM, UGC","₹2.27 K / yr BAMS - avg fee",,""
"Sri Adichunchanagiri College of Pharmacy - [AACP], Mandya","6.7/10","Mandya, Karnataka","PCI, AICTE","-- PG Diploma in Medi...",,
"AISECT University, Bhopal","6.7/10","Bhopal, Madhya Pradesh","NCTE, AICTE","-- Bachelor of Physio...",,""
"Mahatma Gandhi Mission Institute of Health Sciences - [MGMIHS], Navi Mumbai","6.7/10","Navi Mumbai, Maharashtra","MCI, UGC, NAAC-A","₹35.6 K / yr Bachelor of Physio...",,"3.1 / 5 2 reviews"
"Vinayaka Missions University - [VMU], Salem","6.7/10","Salem, Tamil Nadu","UGC","₹40 K / yr BHMS - avg fee",,"3.6 / 5 2 reviews"
"Gurukula Kangri Vishwavidyalaya - [GKV], Haridwar","6.7/10","Haridwar, Uttarakhand","AICTE, NAAC, UGC","₹7.09 K / yr B.Sc (Medicine) - ...",,"3 / 5 8 reviews"
"Kumaun University, Nainital","6.7/10","Nainital, Uttarakhand","NAAC-A","₹14.2 K / yr PG Diploma in Medi...",,""
"Noorul Islam University, Kanyakumari","6.7/10","Kanyakumari, Tamil Nadu","AICTE, UGC, NBA, NAAC-A","₹1 L / yr B.Sc (Medicine) - ...",,""
"Ponnaiyah Ramajayam Institute of Science and Technology University - [PRIST University], Thanjavur","6.7/10","Thanjavur, Tamil Nadu","UGC","-- M.Sc (Medicine)",,""
"Sumandeep Vidyapeeth, Vadodara","6.7/10","Vadodara, Gujarat","PCI, MCI, UGC, NAAC-A","₹1.18 L / yr Bachelor of Physio...",,"3.8 / 5 11 reviews"
"Kolhan University, Chaibasa","6.7/10","Chaibasa, Jharkhand","UGC","-- MBBS",,""
"Hemwati Nandan Bahuguna Garhwal University, Garhwal","6.7/10","Garhwal, Uttarakhand","PCI, AICTE, UGC, NAAC-A","₹6.2 K / yr PG Diploma in Medi...",,""
"Pacific University, Udaipur","6.7/10","Udaipur, Rajasthan","UGC, AIU","₹19 K / yr PG Diploma in Medi...",,""
"Singhania University, Jhunjhunu","6.6/10","Jhunjhunu, Rajasthan","AICTE, UGC","₹37.2 K / yr Bachelor of Physio...",,"3.4 / 5 11 reviews"
"Sri Sai College of Dental Surgery, Hyderabad","6.6/10","Hyderabad, Telangana","DCI","-- UG Certificate in ...",,""
"Indira Gandhi National Open University - [IGNOU], New Delhi","6.6/10","New Delhi, Delhi NCR","NCTE, AICTE, NAAC","₹60 K / yr PG Diploma in Medi...",,"3.2 / 5 52 reviews"
"GLA University, Mathura","6.6/10","Mathura, Uttar Pradesh","UGC, NAAC-A","₹1.22 L / yr M.Sc (Medicine) - ...",,""
"Rajiv Gandhi College, Bhopal","6.6/10","Bhopal, Madhya Pradesh","NCTE, CCIM, AICTE, BCI, UGC","₹24 K / yr B.Sc (Medicine) - ...",,"3.4 / 5 7 reviews"
"The Tamil Nadu Dr. M.G.R. Medical University, Chennai","6.6/10","Chennai, Tamil Nadu","DCI, RCI, PCI, INC, MCI","₹1.5 K / yr Bachelor of Physio...",,"3.4 / 5 4 reviews"
"Kurukshetra University - [KUK], Kurukshetra","6.6/10","Kurukshetra, Haryana","NCTE, BCI, NCHMCT, AICTE, NAAC","₹17.3 K / yr PG Diploma in Medi...",,""
"Jai Narain Vyas University - [JNVU], Jodhpur","6.6/10","Jodhpur, Rajasthan","UGC, NAAC-B","₹12 K / yr PG Diploma in Medi...",,""
"Shobhit University, Meerut","6.6/10","Meerut, Uttar Pradesh","UGC, NAAC-B","₹32 K / yr PG Diploma in Medi...",,""
"Teerthanker Mahaveer University - [TMU], Moradabad","6.6/10","Moradabad, Uttar Pradesh","UGC","₹73.2 K / yr Bachelor of Physio...",,"4 / 5 10 reviews"
"Eastern Institute for Integrated Learning in Management - [EIILM University], West Sikkim","6.6/10","West Sikkim, Sikkim","AICTE, UGC","₹51.1 K / yr Bachelor of Physio...",,"3.9 / 5 3 reviews"
"GITAM, Visakhapatnam","6.6/10","Visakhapatnam, Andhra Pradesh","UGC, NAAC-A","₹11 L / yr MBBS - avg fee",,""
"Greenway Institute of Management Studies - [GIMS], Dehradun","6.6/10","Dehradun, Uttarakhand","AICTE, UGC","-- UG Diploma in Medi...",,""
"Dr Babasaheb Ambedkar Open University - [BAOU], Ahmedabad","6.6/10","Ahmedabad, Gujarat","UGC","₹4.2 K / yr UG Diploma in Medi...",,"3.2 / 5 1 reviews"
"CMJ University, Shillong","6.6/10","Shillong, Meghalaya","UGC","₹20 K / yr Bachelor of Physio...",,""
"Career Point University - [CPU], Kota","6.6/10","Kota, Rajasthan","AICTE, UGC","₹55.1 K / yr Bachelor of Physio...",,"4 / 5 11 reviews"
"Dr. Vithalrao Vikhe Patil Foundation's Medical College - [VIMS], Ahmed Nagar","6.6/10","Ahmed Nagar, Maharashtra","MCI","₹5.79 L / yr MBBS - avg fee",,"4.4 / 5 1 reviews"
"Andhra University - [AU], Visakhapatnam","6.5/10","Visakhapatnam, Andhra Pradesh","AICTE, UGC, NAAC-A","₹30.4 K / yr BHMS - avg fee",,"3.7 / 5 34 reviews"
"Guru Nanak Dev University - [GNDU], Amritsar","6.5/10","Amritsar, Punjab","UGC, NAAC-A","₹47.7 K / yr Bachelor of Physio...",,"4 / 5 40 reviews"
"Dayalbagh Educational Institute - [DEI], Agra","6.5/10","Agra, Uttar Pradesh","UGC, NAAC-A, MHRD","₹8.45 K / yr UG Diploma in Medi...",,""
"Bharathiar University - [BU], Coimbatore","6.5/10","Coimbatore, Tamil Nadu","UGC, NAAC-A","₹9.4 K / yr M.Phil/Ph.D in Med...",,""
"Yashwantrao Chavan Maharashtra Open University- [YCMOU], Nashik","6.5/10","Nashik, Maharashtra","UGC","₹12.1 K / yr B.Sc (Medicine) - ...",,"2.1 / 5 2 reviews"
"Yenepoya University, Mangalore","6.5/10","Mangalore, Karnataka","UGC","₹70 K / yr Bachelor of Physio...",,"4.5 / 5 1 reviews"
"Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur","6.4/10","Bhagalpur, Bihar","AICTE, UGC, NAAC-B","-- Graduate Diploma i...",,
"Mewar University - [MU], Chittorgarh","6.4/10","Chittorgarh, Rajasthan","NCTE, PCI, BCI, AICTE, UGC","₹33 K / yr B.Sc (Medicine) - ...",,"3.9 / 5 7 reviews"
"ISF College of pharmacy, Moga","6.4/10","Moga, Punjab","PCI, NBA","-- PG Diploma in Medi...",,""
"Santhigiri Siddha Medical College - [SSMC], Thiruvananthapuram","6.4/10","Thiruvananthapuram, Kerala","CCIM","₹1.14 L / yr BAMS - avg fee",,
"DY Patil University, Navi Mumbai","6.4/10","Navi Mumbai, Maharashtra","NAAC-A","₹2.73 L / yr BAMS - avg fee",,"3.4 / 5 15 reviews"
"College of Engineering, Anna University - [CEG], Chennai","6.4/10","Chennai, Tamil Nadu","AICTE, NAAC-A","-- M.Phil/Ph.D in Med...",,""
"Dayanand Anglo Vaidik Mahavidyalaya - [DAV], Kanpur","6.4/10","Kanpur, Uttar Pradesh","AICTE, NAAC-B","₹7.23 K / yr B.Sc (Medicine) - ...",,""
"Amrita Vishwa Vidyapeetham Kochi Campus, Kochi","6.4/10","Kochi, Kerala","PCI, AICTE, UGC, NAAC-A","₹1.1 L / yr B.Sc (Medicine) - ...",,"2.4 / 5 1 reviews"
"Garden City University- [GCU], Bangalore","6.4/10","Bangalore, Karnataka","AICTE, UGC, NAAC-A","₹96 K / yr Bachelor of Physio...",,"3.8 / 5 20 reviews"
"University of Rajasthan, Jaipur","6.3/10","Jaipur, Rajasthan","UGC","₹6.59 K / yr PG Diploma in Medi...",,""
"West Bengal University of Health Sciences - [WBUHS], Kolkata","6.3/10","Kolkata, West Bengal","UGC","-- B.Sc (Medicine)",,""
"Sri Balaji Vidyapeeth University - [SBV], Pondicherry","6.3/10","Pondicherry, Puducherry","NAAC, UGC","₹15 K / yr B.Sc (Medicine) - ...",,""
"Goa University, North Goa","6.3/10","North Goa, Goa","UGC, NAAC-A, MHRD, AIU","₹89.1 K / yr BAMS - avg fee",,"3.6 / 5 5 reviews"
"Nitte University, Mangalore","6.3/10","Mangalore, Karnataka","UGC, NAAC-A, MHRD","₹49 K / yr B.Sc (Medicine) - ...",,"3.8 / 5 19 reviews"
"Swami Vivekanand Subharti University - [SVSU], Meerut","6.4/10","Meerut, Uttar Pradesh","NCTE, DCI, AICTE, PCI, INC","₹80.4 K / yr Bachelor of Physio...",,"3.5 / 5 9 reviews"
"Geetanjali University - [GU], Udaipur","6.3/10","Udaipur, Rajasthan","DCI, INC, MCI, UGC","₹26.7 K / yr Bachelor of Physio...",,"3.4 / 5 6 reviews"
"Dr. NTR University of Health Sciences - [NTRUHS], Vijayawada","6.3/10","Vijayawada, Andhra Pradesh","DCI, INC, MCI, UGC","₹21.6 K / yr BAMS - avg fee",,"3 / 5 1 reviews"
"Bharathidasan University - [BU], Thiruchirapalli","6.3/10","Thiruchirapalli, Tamil Nadu","UGC, DEB","₹3 K / yr PG Diploma in Medi...",,""
"Kerala Veterinary and Animal Sciences University - [KVASU] Pookode , Wayanad","6.3/10","Wayanad, Kerala","AICTE, UGC","₹47.2 K / yr Diploma in Medical...",,
"Bhagwan Mahavir College of Pharmacy, Surat","6.3/10","Surat, Gujarat","PCI, AICTE","-- Bachelor of Physio...",,""
"Regional Institute of Medical Sciences, Imphal","6.3/10","Imphal, Manipur","MCI","₹6.47 K / yr MBBS - avg fee",,"3 / 5 1 reviews"
"Krishna Institute of Medical Sciences University - [KIMS], Satara","6.2/10","Satara, Maharashtra","DCI, MCI, UGC","₹9.4 L / yr MBBS - avg fee",,"3.4 / 5 1 reviews"
"DAV College - [DAVC], Chandigarh","6.2/10","Chandigarh, Chandigarh","NAAC, UGC","₹21.9 K / yr Graduate Diploma i...",,""
"Institute for Excellence in Higher Education - [IEHE], Bhopal","6.2/10","Bhopal, Madhya Pradesh","UGC, NAAC-A+","₹8 K / yr Diploma in Medical...",,""
"ICFAI University, West Tripura","6.2/10","West Tripura, Tripura","AICTE, UGC","₹50 K / yr PG Diploma in Medi...",,""
"Maharishi Markandeshwar University - [MMU] Mullana Campus, Ambala","6.2/10","Ambala, Haryana","AICTE, UGC, NAAC-A, AIU","₹57 K / yr B.Sc (Medicine) - ...",,"3.7 / 5 43 reviews"
"Dr. M.G.R. Educational and Research Institute, Chennai","6.2/10","Chennai, Tamil Nadu","NBA, NAAC-A","₹85 K / yr Bachelor of Physio...",,"3.3 / 5 20 reviews"
"Madurai Kamaraj University - [MKU], Madurai","6.2/10","Madurai, Tamil Nadu","UGC, NAAC-A","₹2.2 K / yr PG Diploma in Medi...",,""
"Gulbarga University - [GU], Gulbarga","6.2/10","Gulbarga, Karnataka","UGC","₹5.72 K / yr PG Diploma in Medi...",,""
"Shivaji University - [SUK], Kolhapur","6.2/10","Kolhapur, Maharashtra","UGC, NAAC-A","₹53.2 K / yr BHMS - avg fee",,""
"University of Madras, Chennai","6.2/10","Chennai, Tamil Nadu","NAAC, UGC","₹9.51 K / yr MD - avg fee",,"3.6 / 5 12 reviews"
"Saurashtra University, Rajkot","6.2/10","Rajkot, Gujarat","UGC, NAAC-A","₹40 K / yr PG Diploma in Medi...",,"2.9 / 5 2 reviews"
"Hoogly Mohsin College Chinsurah, Hooghly","6.2/10","Hooghly, West Bengal","NAAC","₹1.7 K / yr B.Sc (Medicine) - ...",,""
"Shree Guru Gobind Singh Tricentenary University - [SGT], Gurgaon","6.1/10","Gurgaon, Haryana","MCI, BCI, AICTE, UGC","₹3.91 L / yr BAMS - avg fee",,"4 / 5 16 reviews"
"Kongunadu Arts and Science College, Coimbatore","6.1/10","Coimbatore, Tamil Nadu","UGC, NAAC-A","-- UG Diploma in Medi...",,"3.1 / 5 3 reviews"
"Swami Ramanand Teerth Marathwada University - [SRTMUN], Nanded","6.1/10","Nanded, Maharashtra","UGC, NAAC-A","-- M.Phil/Ph.D in Med...",,""
"People's University, Bhopal","6.1/10","Bhopal, Madhya Pradesh","PCI, INC, MCI, UGC","₹40 K / yr B.Sc (Medicine) - ...",,"3.3 / 5 13 reviews"
"Vidyasagar University, Midnapore","6.1/10","Midnapore, West Bengal","UGC","₹1.82 K / yr M.Sc (Medicine) - ...",,""
"Paramedical College, Durgapur","6.1/10","Durgapur, West Bengal","RCI, IAP","₹41.1 K / yr B.Sc (Medicine) - ...",,""
"Melmaruvathur Adhiparasakthi Institute of Medical Sciences and Research - [MAPIMS], Kanchipuram","6.1/10","Kanchipuram, Tamil Nadu","MCI","₹28 K / yr Bachelor of Physio...",,""
"Magadh University - [MU], Gaya","6.1/10","Gaya, Bihar","AICTE, NAAC, UGC","-- Bachelor of Physio...",,"2.5 / 5 2 reviews"
"Adesh University, Bathinda","6.1/10","Bathinda, Punjab","DCI, MCI, UGC","₹35.8 K / yr Bachelor of Physio...",,""
"Chettinad Academy of Research and Education, Kanchipuram","6.0/10","Kanchipuram, Tamil Nadu","MCI, NAAC, UGC","-- B.Sc (Nursing)",,"3.9 / 5 1 reviews"
"Sree Uthradom Thirunal Academy of Medical Sciences Vattappara, Trivendrum","6.0/10","Trivendrum, Kerala","MCI","₹3.29 L / yr MBBS - avg fee",,
"Lovely Professional University - [LPU], Jalandhar","6.0/10","Jalandhar, Punjab","NCTE, COA, PCI, IAP, BCI","₹93.4 K / yr Bachelor of Physio...",,"4 / 5 323 reviews"
"Amity University, Gurgaon","6.0/10","Gurgaon, Haryana","RCI, COA, INC, BCI, AICTE","₹85.4 K / yr B.Sc (Medicine) - ...",,"3.6 / 5 16 reviews"
"Panjab University - [PU], Chandigarh","6.0/10","Chandigarh, Chandigarh","AICTE, NAAC","₹41.1 K / yr M.Sc (Medicine) - ...",,""
"Government M L B Girls PG College - [MLB], Bhopal","6.0/10","Bhopal, Madhya Pradesh","NAAC-A","₹12.8 K / yr B.Sc (Medicine) - ...",,""
"Gujarat University - [GU], Ahmedabad","6.0/10","Ahmedabad, Gujarat","UGC, NAAC-B","₹90 K / yr Bachelor of Physio...",,"3.4 / 5 4 reviews"
"RKDF University, Bhopal","6.0/10","Bhopal, Madhya Pradesh","NCTE, PCI, AICTE, UGC","₹1.36 L / yr BHMS - avg fee",,"3.5 / 5 8 reviews"
"Amity University, Jaipur","6.0/10","Jaipur, Rajasthan","AICTE, UGC","₹80 K / yr M.Phil/Ph.D in Med...",,""
"Chhatrapati Shahu Ji Maharaj University - [CSJM], Kanpur","6.0/10","Kanpur, Uttar Pradesh","UGC","₹53 K / yr Bachelor of Physio...",,"3.2 / 5 10 reviews"
"University of Lucknow, Lucknow","6.0/10","Lucknow, Uttar Pradesh","AICTE, UGC","₹10 K / yr PG Diploma in Medi...",,""
"Dolphin PG Institute of BioMedical & Natural Sciences, Dehradun","6.0/10","Dehradun, Uttarakhand","","₹65 K / yr Bachelor of Physio...",,""
"VELS University, Chennai","6.0/10","Chennai, Tamil Nadu","AICTE, NAAC-B","₹81.6 K / yr Bachelor of Physio...",,"4.1 / 5 12 reviews"
"Manipur University - [MU], Imphal","5.9/10","Imphal, Manipur","NAAC, UGC","₹21.8 K / yr MBBS - avg fee",,""
"Amrita Vishwa Vidyapeetham Amritapuri Campus, Kollam","5.9/10","Kollam, Kerala","AICTE, UGC, NAAC-A","₹1.84 L / yr BAMS - avg fee",,"3.9 / 5 7 reviews"
"Garware Institute of Career Education and Development - [GICED], Mumbai","5.9/10","Mumbai, Maharashtra","NAAC-A","₹32.2 K / yr PG Diploma in Medi...",,""
"Bharath University, Chennai","5.9/10","Chennai, Tamil Nadu","AICTE, UGC, NAAC-A","-- Bachelor of Physio...",,"3.2 / 5 20 reviews"
"Guru Jambheshwar University of Science and Technology - [GJUS&T], Hisar","5.9/10","Hisar, Haryana","DCI, AICTE, UGC, NAAC-A","₹33 K / yr Bachelor of Physio...",,"3.6 / 5 35 reviews"
"Centurion University of Technology and Management - [CUTM], Bhubaneswar","5.9/10","Bhubaneswar, Orissa","AICTE, UGC, NAAC-A, AIU","₹75.5 K / yr B.Sc (Medicine) - ...",,"3.3 / 5 18 reviews"
"Kalinga Institute of Industrial Technology - [KIIT], Bhubaneswar","5.9/10","Bhubaneswar, Orissa","DCI, INC, MCI, BCI, AICTE","₹10.7 L / yr MBBS - avg fee",,"4.2 / 5 158 reviews"
"Jodhpur National University - [JNU], Jodhpur","5.9/10","Jodhpur, Rajasthan","DCI, BCI, AICTE, UGC, AIU","₹57.3 K / yr Bachelor of Physio...",,"2.9 / 5 7 reviews"
"Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya - [SCSVMV University], Kanchipuram","5.9/10","Kanchipuram, Tamil Nadu","UGC, NAAC-B","₹2.52 L / yr BAMS - avg fee",,""
"Galgotias University - [GU], Greater Noida","5.9/10","Greater Noida, Uttar Pradesh","AICTE, UGC","₹54.3 K / yr Bachelor of Physio...",,"3.4 / 5 97 reviews"
"University of Kalyani, Kalyani","5.9/10","Kalyani, West Bengal","UGC","₹15.9 K / yr M.Phil/Ph.D in Med...",,""
"RIMT University, Gobindgarh","5.8/10","Gobindgarh, Punjab","AICTE, UGC","₹41 K / yr B.Sc (Medicine) - ...",,"3.5 / 5 17 reviews"
"Narendra Dev University of Agriculture and Technology - [NDUAT], Faizabad","5.8/10","Faizabad, Uttar Pradesh","ICAR, UGC","₹82.7 K / yr M.Phil/Ph.D in Med...",,
"Kannur University, Kannur","5.7/10","Kannur, Kerala","NAAC-B","₹57.6 K / yr M.Sc (Medicine) - ...",,"2.9 / 5 1 reviews"
"Alagappa University, Karaikudi","5.7/10","Karaikudi, Tamil Nadu","AICTE, NAAC, UGC","₹10.7 K / yr PG Diploma in Medi...",,""
"Uttarakhand Open University - [UOU], Nainital","5.7/10","Nainital, Uttarakhand","","₹5.93 K / yr UG Diploma in Medi...",,""
"Minerva College of Architecture Ambi, Pune","5.7/10","Pune, Maharashtra","AICTE","-- UG Diploma in Medi...",,
"Kuvempu University, Shimoga","5.7/10","Shimoga, Karnataka","UGC","₹5.03 K / yr PG Diploma in Medi...",,""
"Himachal Pradesh University - [HPU], Shimla","5.7/10","Shimla, Himachal Pradesh","NAAC-A","₹13.8 K / yr BAMS - avg fee",,"3 / 5 6 reviews"
"Mahatma Gandhi University - [MGU], Kottayam","5.7/10","Kottayam, Kerala","NAAC, UGC","₹80 K / yr BAMS - avg fee",,"3.4 / 5 1 reviews"
"Assam Down Town University - [ADTU], Guwahati","5.7/10","Guwahati, Assam","UGC","₹76.7 K / yr B.Sc (Medicine) - ...",,"4.6 / 5 1 reviews"
"Rai Technology University - [RTU], Bangalore","5.7/10","Bangalore, Karnataka","ICAR, UGC","₹40 K / yr UG Diploma in Medi...",,""
"Hemchandracharya North Gujarat University - [HNGU], Patan","5.7/10","Patan, Gujarat","UGC, NAAC-A","₹4 K / yr PG Diploma in Medi...",,""
"Dr DY Patil Vidyapeeth - [DPU], Pune","5.7/10","Pune, Maharashtra","NAAC, UGC, MHRD, AIU","₹1.56 L / yr Bachelor of Physio...",,"3.9 / 5 1 reviews"
"Indira Gandhi National Tribal University - [IGNTU], Anuppur","5.7/10","Anuppur, Madhya Pradesh","UGC","₹3.4 K / yr PG Diploma in Medi...",,
"Dev Sanskriti Vishwavidyalaya - [DSVV], Haridwar","5.7/10","Haridwar, Uttarakhand","NCTE, NAAC, UGC","₹40 K / yr PG Diploma in Medi...",,""
"Navsari Agricultural University, Navsari","5.7/10","Navsari, Gujarat","AICTE, ICAR","₹21.8 K / yr M.Sc (Medicine) - ...",,
"All India Institute of Speech and Hearing - [AIISH], Mysore","5.6/10","Mysore, Karnataka","RCI, NAAC-A","₹9.85 K / yr B.Sc (Medicine) - ...",,""
"Atal Bihari Vajpayee Hindi Vishwavidyalaya - [ABVHV], Bhopal","5.6/10","Bhopal, Madhya Pradesh","UGC","₹3 K / yr PG Diploma in Medi...",,""
"Sarvepalli Radhakrishnan University - [SRK], Bhopal","5.6/10","Bhopal, Madhya Pradesh","MCI, AICTE, UGC","₹54 K / yr BHMS - avg fee",,"4.3 / 5 1 reviews"
"Institute of Applied Medicines and Research - [IAMR], Ghaziabad","5.6/10","Ghaziabad, Uttar Pradesh","IAP, UGC","-- Bachelor of Physio...",,""
"Sophia Nursing College, Gwalior","5.6/10","Gwalior, Madhya Pradesh","INC","₹90 K / yr B.Sc (Nursing) - a...",,
"Tripura University, West Tripura","5.6/10","West Tripura, Tripura","NAAC-B","₹2.7 K / yr M.Sc (Medicine) - ...",,""
"DRIEMS Group of Institutions, Cuttack","5.6/10","Cuttack, Orissa","AICTE, NBA, NAAC-A","₹72 K / yr UG Diploma in Medi...",,""
"BR Ambedkar Bihar University - [BRABU], Muzaffarpur","5.6/10","Muzaffarpur, Bihar","NAAC, UGC, AIU","₹6 K / yr B.Sc (Medicine) - ...",,"1.3 / 5 1 reviews"
"Government Degree College, Chhatarpur","5.5/10","Chhatarpur, Madhya Pradesh","NAAC-B","₹8.93 K / yr B.Sc (Medicine) - ...",,""
"Punjabi University - [PU], Patiala","5.5/10","Patiala, Punjab","UGC, NAAC-A","₹55 K / yr Bachelor of Physio...",,"3.8 / 5 16 reviews"
"BFIT Group of Institutions, Dehradun","5.5/10","Dehradun, Uttarakhand","AICTE, NAAC, UGC","₹48.9 K / yr M.Sc (Medicine) - ...",,""
"Career College, Bhopal","5.4/10","Bhopal, Madhya Pradesh","NAAC-A","₹33 K / yr B.Sc (Medicine) - ...",,"3.7 / 5 3 reviews"
"Mohanlal Sukhadia University - [MLSU], Udaipur","5.4/10","Udaipur, Rajasthan","PCI, BCI, AICTE, UGC, NAAC-A","₹20 K / yr PG Diploma in Medi...",,""
"Annie Besant College of Engineering And Management - [ABCEM], Lucknow","5.4/10","Lucknow, Uttar Pradesh","AICTE","₹4.1 K / yr B.Sc (Medicine) - ...",,
"Saveetha Dental College & Hospital, Chennai","5.4/10","Chennai, Tamil Nadu","DCI","₹1.6 L / yr M.Phil/Ph.D in Med...",,""
"Gujarat Technological University - [GTU], Ahmedabad","5.4/10","Ahmedabad, Gujarat","PCI, NBA","₹25.4 K / yr M.Phil/Ph.D in Med...",,""
"Chandigarh University - [CU], Chandigarh","5.4/10","Chandigarh, Chandigarh","AICTE, UGC, AIU","₹99 K / yr Bachelor of Physio...",,"4.1 / 5 66 reviews"
"Saveetha University, Chennai","5.4/10","Chennai, Tamil Nadu","NAAC, UGC","₹63.8 K / yr Bachelor of Physio...",,"3.9 / 5 23 reviews"
"Babasaheb Bhimrao Ambedkar University - [BBAU], Lucknow","5.4/10","Lucknow, Uttar Pradesh","UGC, NAAC-A, MHRD","₹57 K / yr M.Sc (Medicine) - ...",,""
"Dr. Ram Manohar Lohia Avadh University - [RMLAU], Faizabad","5.4/10","Faizabad, Uttar Pradesh","AICTE, NAAC, UGC","₹7.2 K / yr PG Diploma in Medi...",,""
"Institute of Para Medical Technology - [IPMT], New Delhi","5.4/10","New Delhi, Delhi NCR","PCI, AICTE","₹32 K / yr UG Diploma in Medi...",,""
"Amity University, Lucknow","5.4/10","Lucknow, Uttar Pradesh","AICTE, UGC, NAAC-A","₹1.55 L / yr PG Diploma in Medi...",,""
"Mahatma Gandhi University - [MGU], Ri-Bhoi","5.4/10","Ri-Bhoi, Meghalaya","BCI, UGC, DEB, AIU","₹18.5 K / yr B.Sc (Medicine) - ...",,""
"Dr. Hari Singh Gour University, Sagar","5.3/10","Sagar, Madhya Pradesh","NAAC-A","₹19.8 K / yr B.Sc (Medicine) - ...",,""
"Uttarakhand Technical University, Dehradun","5.3/10","Dehradun, Uttarakhand","AICTE, UGC","₹23.6 K / yr M.Sc (Medicine) - ...",,""
"Rashtrasant Tukadoji Maharaj Nagpur University - [RTMNU], Nagpur","5.3/10","Nagpur, Maharashtra","UGC, NAAC-A, AIU","₹27 K / yr M.Ch - avg fee",,"3.8 / 5 35 reviews"
"Maharaja Ranjit Singh Punjab Technical University -[MRSPTU], Bathinda","5.2/10","Bathinda, Punjab","AICTE, UGC","₹48.5 K / yr B.Sc (Medicine) - ...",,""
"Khalsa College, Amritsar","5.2/10","Amritsar, Punjab","","₹62.9 K / yr Bachelor of Physio...",,"4.2 / 5 3 reviews"
"Apeejay Stya University - [ASU], Gurgaon","5.2/10","Gurgaon, Haryana","UGC","₹1.7 L / yr PG Diploma in Medi...",,"3.9 / 5 12 reviews"
"Sam Higginbottom University of Agriculture Technology and Sciences - [SHUATS], Allahabad","5.2/10","Allahabad, Uttar Pradesh","NCTE, ICAR, UGC, NAAC-A","₹55.1 K / yr B.Sc (Medicine) - ...",,"3.5 / 5 25 reviews"
"Mangalore University, Mangalore","5.2/10","Mangalore, Karnataka","UGC, NAAC-A","₹51.2 K / yr M.Sc (Medicine) - ...",,"4.4 / 5 1 reviews"
"College of Commerce, Arts & Science, Patna","5.2/10","Patna, Bihar","AICTE","-- UG Diploma in Medi...",,""
