Country Name,Course Lavel,University Name,Course,Ranking,
Estonia,Undergraduate,Accounting and Finance,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Accounting and Finance,Estonian Business School,,
Estonia,Undergraduate,Accounting and Finance,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Agriculture & Forestry,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Anatomy & Physiology,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Anthropology,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Anthropology,Tallinn University,,
Estonia,Undergraduate,Anthropology,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Archaeology,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Architecture,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Architecture,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Area Studies,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Area Studies,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Art & Design,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Art & Design,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Art & Design,Tallinn University,,
Estonia,Undergraduate,Art & Design,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Astronomy,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Biological Sciences,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Biological Sciences,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Business & Management Studies,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Business & Management Studies,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Business & Management Studies,Estonian Business School,,
Estonia,Undergraduate,Business & Management Studies,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Chemistry,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Chemistry,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Classics & Ancient History,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Communication and Media Studies,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Communication and Media Studies,Tallinn University,,
Estonia,Undergraduate,Communication and Media Studies,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Communication and Media Studies,Estonian Business School,,
Estonia,Undergraduate,Computer Science and Information Systems,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Computer Science and Information Systems,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Computer Science and Information Systems,Tallinn University,,
Estonia,Undergraduate,Computer Science and Information Systems,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Dentistry,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Dentistry,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Development Studies,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Earth and Marine Sciences,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Economics and Econometrics,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Economics and Econometrics,Tallinn University of Technology,#601-650 QS World University Rankings 2018,
Estonia,Undergraduate,Economics and Econometrics,Archimedes Foundation / Study ...,,
Estonia,Undergraduate,Economics and Econometrics,Estonian Business School,,
Estonia,Undergraduate,Education and Training,University of Tartu,#=314 QS World University Rankings 2018,
Estonia,Undergraduate,Education and Training,Tallinn University,,
