Country Name,Course Lavel,University Name,Course,Ranking
Ghana,Undergraduate,Accounting and Finance,Webster University - Ghana,
Ghana,Undergraduate,Business & Management Studies,Webster University - Ghana,
Ghana,Undergraduate,Communication and Media Studies,Webster University - Ghana,
Ghana,Undergraduate,Finance,Webster University - Ghana,
Ghana,Undergraduate,Human Resources Management,Webster University - Ghana,
Ghana,Undergraduate,International Relations/Studies/Affairs,Webster University - Ghana,
Ghana,Undergraduate,Marketing,Webster University - Ghana,
Ghana,Postgraduate,Accounting and Finance,Webster University - Ghana,
Ghana,Postgraduate,Business & Management Studies,Webster University - Ghana,
Ghana,Postgraduate,Communication and Media Studies,Webster University - Ghana,
Ghana,Postgraduate,Finance,Webster University - Ghana,
Ghana,Postgraduate,Human Resources Management,Webster University - Ghana,
Ghana,Postgraduate,International Relations/Studies/Affairs,Webster University - Ghana,
Ghana,Postgraduate,Marketing,Webster University - Ghana,

