Country Name,Course Lavel,University Name,Course,Ranking
Cyprus,Undergraduate,Accounting and Finance,University of Nicosia,
Cyprus,Undergraduate,Accounting and Finance,European University Cyprus (EUC),
Cyprus,Undergraduate,Accounting and Finance,Near East University,
Cyprus,Undergraduate,Accounting and Finance,Neapolis University Pafos,
Cyprus,Undergraduate,Agriculture & Forestry,Neapolis University Pafos,
Cyprus,Undergraduate,Anatomy & Physiology,University of Nicosia,
Cyprus,Undergraduate,Anatomy & Physiology,Neapolis University Pafos,
Cyprus,Undergraduate,Anthropology,University of Nicosia,
Cyprus,Undergraduate,Anthropology,Neapolis University Pafos,
Cyprus,Undergraduate,Archaeology,University of Nicosia,
Cyprus,Undergraduate,Archaeology,Neapolis University Pafos,
Cyprus,Undergraduate,Architecture,University of Nicosia,
Cyprus,Undergraduate,Architecture,Neapolis University Pafos,
Cyprus,Undergraduate,Architecture,Near East University,
Cyprus,Undergraduate,Area Studies,University of Nicosia,
Cyprus,Undergraduate,Art & Design,European University Cyprus (EUC),
Cyprus,Undergraduate,Art & Design,University of Nicosia,
Cyprus,Undergraduate,Art & Design,Neapolis University Pafos,
Cyprus,Undergraduate,Art & Design,Near East University,
Cyprus,Undergraduate,Biological Sciences,European University Cyprus (EUC),
Cyprus,Undergraduate,Biological Sciences,University of Nicosia,
Cyprus,Undergraduate,Built Environment,University of Nicosia,
Cyprus,Undergraduate,Built Environment,Neapolis University Pafos,
Cyprus,Undergraduate,Business & Management Studies,European University Cyprus (EUC),
Cyprus,Undergraduate,Business & Management Studies,University of Nicosia,
Cyprus,Undergraduate,Business & Management Studies,Neapolis University Pafos,
Cyprus,Undergraduate,Business & Management Studies,Near East University,
Cyprus,Undergraduate,Chemistry,University of Nicosia,
Cyprus,Undergraduate,Classics & Ancient History,Neapolis University Pafos,
Cyprus,Undergraduate,Communication and Media Studies,University of Nicosia,
Cyprus,Undergraduate,Communication and Media Studies,European University Cyprus (EUC),
Cyprus,Undergraduate,Communication and Media Studies,Near East University,
Cyprus,Undergraduate,Communication and Media Studies,Neapolis University Pafos,
Cyprus,Undergraduate,Computer Science and Information Systems,University of Nicosia,
Cyprus,Undergraduate,Computer Science and Information Systems,European University Cyprus (EUC),
Cyprus,Undergraduate,Computer Science and Information Systems,Neapolis University Pafos,
Cyprus,Undergraduate,Computer Science and Information Systems,Near East University,
Cyprus,Undergraduate,Dentistry,European University Cyprus (EUC),
Cyprus,Undergraduate,Dentistry,Near East University,
Cyprus,Undergraduate,Development Studies,University of Nicosia,
Cyprus,Undergraduate,Development Studies,Neapolis University Pafos,
Cyprus,Undergraduate,Earth and Marine Sciences,European University Cyprus (EUC),
Cyprus,Undergraduate,Economics and Econometrics,European University Cyprus (EUC),
Cyprus,Undergraduate,Economics and Econometrics,University of Nicosia,
Cyprus,Undergraduate,Economics and Econometrics,Near East University,
Cyprus,Undergraduate,Economics and Econometrics,Neapolis University Pafos,
