Country Name,Course Lavel,University Name,Course,Ranking
Czech Republic,Undergraduate,Accounting and Finance,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Accounting and Finance,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Accounting and Finance,University of Pardubice,
Czech Republic,Undergraduate,Accounting and Finance,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Anatomy & Physiology,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Anatomy & Physiology,Palacký University in Olomouc,
Czech Republic,Undergraduate,Anthropology,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Archaeology,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Archaeology,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Archaeology,Palacký University in Olomouc,
Czech Republic,Undergraduate,Area Studies,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Area Studies,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Area Studies,Palacký University in Olomouc,
Czech Republic,Undergraduate,Art & Design,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Art & Design,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Art & Design,Palacký University in Olomouc,
Czech Republic,Undergraduate,Astronomy,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Biological Sciences,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Biological Sciences,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Biological Sciences,Palacký University in Olomouc,
Czech Republic,Undergraduate,Built Environment,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Built Environment,Palacký University in Olomouc,
Czech Republic,Undergraduate,Business & Management Studies,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Business & Management Studies,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Business & Management Studies,Czech Technical University in ...,#491-500 QS World University Rankings 2018
Czech Republic,Undergraduate,Business & Management Studies,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Business & Management Studies,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Business & Management Studies,University of Pardubice,
Czech Republic,Undergraduate,Business & Management Studies,Palacký University in Olomouc,
Czech Republic,Undergraduate,Business & Management Studies,NEWTON College,
Czech Republic,Undergraduate,Chemistry,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Chemistry,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Chemistry,Palacký University in Olomouc,
Czech Republic,Undergraduate,Classics & Ancient History,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Classics & Ancient History,Palacký University in Olomouc,
Czech Republic,Undergraduate,Communication and Media Studies,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Communication and Media Studies,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Communication and Media Studies,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Communication and Media Studies,Palacký University in Olomouc,
Czech Republic,Undergraduate,Communication and Media Studies,University of Pardubice,
Czech Republic,Undergraduate,Computer Science and Information Systems,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Computer Science and Information Systems,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Computer Science and Information Systems,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Computer Science and Information Systems,Palacký University in Olomouc,
Czech Republic,Undergraduate,Computer Science and Information Systems,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Computer Science and Information Systems,University of Pardubice,
Czech Republic,Undergraduate,Dentistry,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Dentistry,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Dentistry,Palacký University in Olomouc,
Czech Republic,Undergraduate,Development Studies,Palacký University in Olomouc,
Czech Republic,Undergraduate,Earth and Marine Sciences,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Earth and Marine Sciences,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Earth and Marine Sciences,Palacký University in Olomouc,
Czech Republic,Undergraduate,Economics and Econometrics,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Economics and Econometrics,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Economics and Econometrics,Czech Technical University in ...,#491-500 QS World University Rankings 2018
Czech Republic,Undergraduate,Economics and Econometrics,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Economics and Econometrics,University of Pardubice,
Czech Republic,Undergraduate,Education and Training,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Education and Training,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Education and Training,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Education and Training,University of Pardubice,
Czech Republic,Undergraduate,Education and Training,Palacký University in Olomouc,
Czech Republic,Undergraduate,Engineering - Chemical,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Engineering - General,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Engineering - Manufacturing & Production,University of Pardubice,
Czech Republic,Undergraduate,English Language and Literature,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,English Language and Literature,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,English Language and Literature,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,English Language and Literature,Palacký University in Olomouc,
Czech Republic,Undergraduate,Environmental Studies,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Environmental Studies,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Environmental Studies,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Environmental Studies,Palacký University in Olomouc,
Czech Republic,Undergraduate,Ethnicity, Gender and Diversity,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Ethnicity, Gender and Diversity,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Ethnicity, Gender and Diversity,Palacký University in Olomouc,
Czech Republic,Undergraduate,Finance,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Finance,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Geography,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Geography,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Geography,Palacký University in Olomouc,
Czech Republic,Undergraduate,Hospitality & Leisure Management,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Hospitality & Leisure Management,Palacký University in Olomouc,
Czech Republic,Undergraduate,Human Resources Management,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Human Resources Management,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Human Resources Management,Palacký University in Olomouc,
Czech Republic,Undergraduate,Human Resources Management,NEWTON College,
Czech Republic,Undergraduate,International Relations/Studies/Affairs,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,International Relations/Studies/Affairs,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,International Relations/Studies/Affairs,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,International Relations/Studies/Affairs,Palacký University in Olomouc,
Czech Republic,Undergraduate,Journalism,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Law and Legal Studies,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Law and Legal Studies,Charles University,#=314 QS World University Rankings 2018
Czech Republic,Undergraduate,Law and Legal Studies,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Law and Legal Studies,University of Pardubice,
Czech Republic,Undergraduate,Law and Legal Studies,Palacký University in Olomouc,
Czech Republic,Undergraduate,Library & Information Management,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Library & Information Management,Palacký University in Olomouc,
Czech Republic,Undergraduate,Linguistics,Masaryk University,#551-600 QS World University Rankings 2018
Czech Republic,Undergraduate,Linguistics,Palacký University in Olomouc,
Czech Republic,Undergraduate,Linguistics,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Logistics / Supply Chain Management,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
Czech Republic,Undergraduate,Logistics / Supply Chain Management,Tomas Bata University in Zlin,
Czech Republic,Undergraduate,Marketing,University of Economics, Prague,#N/A QS World University Rankings® 2014/15
