Country Name,Course Lavel,University Name,Course,Ranking
Austria,Undergraduate,Accounting and Finance,WU (Vienna University of Econo ...,
Austria,Undergraduate,Accounting and Finance,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Accounting and Finance,Vienna University of Technology,#=182 QS World University Rankings 2018
Austria,Undergraduate,Accounting and Finance,Universität Innsbruck,#286 QS World University Rankings 2018
Austria,Undergraduate,Accounting and Finance,Johannes Kepler University Linz,#471-480 QS World University Rankings 2018
Austria,Undergraduate,Accounting and Finance,Alpen-Adria-Universitaet Klagenfurt,#751-800 QS World University Rankings 2018
Austria,Undergraduate,Accounting and Finance,Webster Vienna Private University,
Austria,Undergraduate,Agriculture & Forestry,Universität für Bodenkultur Wien,
Austria,Undergraduate,Anthropology,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Archaeology,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Architecture,Vienna University of Technology,#=182 QS World University Rankings 2018
Austria,Undergraduate,Architecture,Universität Innsbruck,#286 QS World University Rankings 2018
Austria,Undergraduate,Area Studies,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Art & Design,Fachhochschule Salzburg,
Austria,Undergraduate,Astronomy,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Biological Sciences,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Biological Sciences,Universität Innsbruck,#286 QS World University Rankings 2018
Austria,Undergraduate,Biological Sciences,Johannes Kepler University Linz,#471-480 QS World University Rankings 2018
Austria,Undergraduate,Biological Sciences,Universität für Bodenkultur Wien,
Austria,Undergraduate,Built Environment,Vienna University of Technology,#=182 QS World University Rankings 2018
Austria,Undergraduate,Business & Management Studies,WU (Vienna University of Econo ...,
Austria,Undergraduate,Business & Management Studies,University of Vienna,#154 QS World University Rankings 2018
Austria,Undergraduate,Business & Management Studies,Vienna University of Technology,#=182 QS World University Rankings 2018
Austria,Undergraduate,Business & Management Studies,Universität Innsbruck,#286 QS World University Rankings 2018
