Country Name,Course Lavel,University Name,Course,Ranking
Brunei,Undergraduate,Accounting and Finance,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Anatomy & Physiology,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Anthropology,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Archaeology,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Area Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Art & Design,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Biological Sciences,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Business & Management Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Chemistry,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Communication and Media Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Computer Science and Information Systems,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Development Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Earth and Marine Sciences,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Economics and Econometrics,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Education and Training,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Engineering - Chemical,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Engineering - Electrical and Electronic,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Engineering - General,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Engineering - Manufacturing & Production,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,English Language and Literature,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Environmental Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Ethnicity, Gender and Diversity,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Geography,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Human Resources Management,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,International Relations/Studies/Affairs,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Linguistics,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Logistics / Supply Chain Management,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Marketing,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Materials Sciences,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Mathematics,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Medicine,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Medicine Related Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Modern Languages,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Nursing,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Performing Arts,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Philosophy,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Physics & Astronomy,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Politics,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Public Policy,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Sociology,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Statistics and Operational Research,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Theology, Divinity & Religious Studies,Universiti Brunei Darussalam (UBD),
Brunei,Undergraduate,Zoology,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Accounting and Finance,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Anatomy & Physiology,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Anthropology,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Archaeology,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Area Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Art & Design,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Biological Sciences,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Business & Management Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Chemistry,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Communication and Media Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Computer Science and Information Systems,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Development Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Earth and Marine Sciences,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Economics and Econometrics,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Education and Training,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Engineering - Chemical,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Engineering - Electrical and Electronic,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Engineering - General,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Engineering - Manufacturing & Production,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,English Language and Literature,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Environmental Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Ethnicity, Gender and Diversity,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Geography,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Human Resources Management,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,International Relations/Studies/Affairs,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Linguistics,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Logistics / Supply Chain Management,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Marketing,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Materials Sciences,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Mathematics,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Medicine,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Medicine Related Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Modern Languages,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Nursing,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Performing Arts,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Philosophy,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Physics & Astronomy,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Politics,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Public Policy,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Sociology,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Statistics and Operational Research,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Theology, Divinity & Religious Studies,Universiti Brunei Darussalam (UBD),
Brunei,Postgraduate,Zoology,Universiti Brunei Darussalam (UBD),

