Country Name,Course Lavel,University Name,Course,Ranking
El Salvador,Undergraduate,Accounting and Finance,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Area Studies,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Business & Management Studies,Universidad Dr. Andres Bello,
El Salvador,Undergraduate,Business & Management Studies,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Computer Science and Information Systems,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Economics and Econometrics,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Economics and Econometrics,Universidad Dr. Andres Bello,
El Salvador,Undergraduate,Engineering - Manufacturing & Production,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Hospitality & Leisure Management,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Marketing,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Medicine Related Studies,Universidad Dr. Andres Bello,
El Salvador,Undergraduate,Medicine Related Studies,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Modern Languages,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Public Policy,Instituto Superior de Economi ...,
El Salvador,Undergraduate,Sociology,Universidad Dr. Andres Bello,
El Salvador,Undergraduate,Sports-related Courses,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Accounting and Finance,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Area Studies,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Business & Management Studies,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Business & Management Studies,Universidad Dr. Andres Bello,
El Salvador,Postgraduate,Computer Science and Information Systems,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Economics and Econometrics,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Economics and Econometrics,Universidad Dr. Andres Bello,
El Salvador,Postgraduate,Engineering - Manufacturing & Production,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Hospitality & Leisure Management,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Marketing,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Medicine Related Studies,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Medicine Related Studies,Universidad Dr. Andres Bello,
El Salvador,Postgraduate,Modern Languages,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Public Policy,Instituto Superior de Economi ...,
El Salvador,Postgraduate,Sociology,Universidad Dr. Andres Bello,
El Salvador,Postgraduate,Sports-related Courses,Instituto Superior de Economi ...,

