Country Name,Course Lavel,University Name,Course,Ranking
Armenia,Undergraduate,Accounting and Finance,Armenian State University of E ...,
Armenia,Undergraduate,Accounting and Finance,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Archaeology,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Area Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Biological Sciences,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Business & Management Studies,Armenian State University of E ...,
Armenia,Undergraduate,Business & Management Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Chemistry,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Classics & Ancient History,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Communication and Media Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Computer Science and Information Systems,Armenian State University of E ...,
Armenia,Undergraduate,Computer Science and Information Systems,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Economics and Econometrics,Armenian State University of E ...,
Armenia,Undergraduate,Economics and Econometrics,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Education and Training,Armenian State University of E ...,
Armenia,Undergraduate,Engineering - Aeronautical,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Engineering - Chemical,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Engineering - Electrical and Electronic,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Engineering - General,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Engineering - Mechanical,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Engineering Management,Armenian State University of E ...,
Armenia,Undergraduate,English Language and Literature,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Finance,Armenian State University of E ...,
Armenia,Undergraduate,Hospitality & Leisure Management,Armenian State University of E ...,
Armenia,Undergraduate,Hospitality & Leisure Management,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Human Resources Management,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Human Resources Management,Armenian State University of E ...,
Armenia,Undergraduate,International Relations/Studies/Affairs,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Law and Legal Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Linguistics,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Logistics / Supply Chain Management,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Marketing,Armenian State University of E ...,
Armenia,Undergraduate,Marketing,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Materials Sciences,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Mathematics,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Medicine Related Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Modern Languages,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Performing Arts,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Philosophy,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Physics & Astronomy,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Politics,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Psychology,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Public Policy,Russian-Armenian (Slavonic) Un ...,
Armenia,Undergraduate,Statistics and Operational Research,Armenian State University of E ...,
Armenia,Undergraduate,Statistics and Operational Research,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Accounting and Finance,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Accounting and Finance,Armenian State University of E ...,
Armenia,Postgraduate,Archaeology,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Area Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Biological Sciences,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Business & Management Studies,Armenian State University of E ...,
Armenia,Postgraduate,Business & Management Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Chemistry,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Classics & Ancient History,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Communication and Media Studies,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Computer Science and Information Systems,Russian-Armenian (Slavonic) Un ...,
Armenia,Postgraduate,Computer Science and Information Systems,Armenian State University of E ...,
