Country Name,Course Lavel,University Name,Course,Ranking
India,Undergraduate,Accounting and Finance,Manav Rachna International Uni ...,
India,Undergraduate,Accounting and Finance,MAHARISHI MARKANDESHWAR UNIVERSITY,
India,Undergraduate,Accounting and Finance,SRM University,
India,Undergraduate,Accounting and Finance,Indian Institute of Technology ...,#=264 QS World University Rankings 2018
India,Undergraduate,Accounting and Finance,University of Delhi,#481-490 QS World University Rankings 2018
India,Undergraduate,Accounting and Finance,University of Calcutta,#751-800 QS World University Rankings 2018
India,Undergraduate,Accounting and Finance,Savitribai Phule Pune University,#801-1000 QS World University Rankings 2018
India,Undergraduate,Accounting and Finance,Sinhgad Group of Institutes,
India,Undergraduate,Accounting and Finance,Indian School of Business and ...,
India,Undergraduate,Accounting and Finance,Indian Institute of Management ...,
India,Undergraduate,Accounting and Finance,Alliance School of Business, A ...,
India,Undergraduate,Accounting and Finance,Sri Krishnadevaraya University,
India,Undergraduate,Accounting and Finance,KALINGA INSTITUTE OF INDUSTRIA ...,
India,Undergraduate,Accounting and Finance,MISB Bocconi,
India,Undergraduate,Accounting and Finance,Indian School of Business,
India,Undergraduate,Accounting and Finance,Tezpur University,
India,Undergraduate,Accounting and Finance,Christ University,
India,Undergraduate,Accounting and Finance,Birla Institute of Technology ...,
India,Undergraduate,Accounting and Finance,Pondicherry University,
India,Undergraduate,Accounting and Finance,Banasthali Vidyapith,
India,Undergraduate,Accounting and Finance,ACHARYA NAGARJUNA UNIVERSITY,
India,Undergraduate,Accounting and Finance,SVKM's Narsee Monjee Institute ...,
India,Undergraduate,Agriculture & Forestry,MAHARISHI MARKANDESHWAR UNIVERSITY,
India,Undergraduate,Agriculture & Forestry,University of Delhi,#481-490 QS World University Rankings 2018
India,Undergraduate,Agriculture & Forestry,University of Calcutta,#751-800 QS World University Rankings 2018
India,Undergraduate,Agriculture & Forestry,Indian Institute of Management ...,
India,Undergraduate,Anatomy & Physiology,SRM University,
India,Undergraduate,Anatomy & Physiology,MAHARISHI MARKANDESHWAR UNIVERSITY,
India,Undergraduate,Anatomy & Physiology,KALINGA INSTITUTE OF INDUSTRIA ...,
India,Undergraduate,Anatomy & Physiology,Pondicherry University,
India,Undergraduate,Anatomy & Physiology,Tezpur University,
India,Undergraduate,Anatomy & Physiology,JSS University, Mysore,
India,Undergraduate,Anthropology,University of Delhi,#481-490 QS World University Rankings 2018
India,Undergraduate,Anthropology,University of Calcutta,#751-800 QS World University Rankings 2018
India,Undergraduate,Anthropology,Savitribai Phule Pune University,#801-1000 QS World University Rankings 2018
India,Undergraduate,Anthropology,KALINGA INSTITUTE OF INDUSTRIA ...,
India,Undergraduate,Anthropology,Pondicherry University,
India,Undergraduate,Archaeology,Jawaharlal Nehru University,#N/A QS World University Rankings® 2014/15
India,Undergraduate,Archaeology,Indian Institute of Technology ...,#=264 QS World University Rankings 2018
India,Undergraduate,Archaeology,University of Delhi,#481-490 QS World University Rankings 2018
India,Undergraduate,Archaeology,University of Calcutta,#751-800 QS World University Rankings 2018
India,Undergraduate,Archaeology,Savitribai Phule Pune University,#801-1000 QS World University Rankings 2018
India,Undergraduate,Archaeology,SVKM's Narsee Monjee Institute ...,
India,Undergraduate,Archaeology,Banasthali Vidyapith,
India,Undergraduate,Archaeology,Tezpur University,
India,Undergraduate,Archaeology,Christ University,
India,Undergraduate,Archaeology,Birla Institute of Technology ...,
India,Undergraduate,Archaeology,KALINGA INSTITUTE OF INDUSTRIA ...,
India,Undergraduate,Archaeology,ACHARYA NAGARJUNA UNIVERSITY,
India,Undergraduate,Archaeology,Pondicherry University,
India,Undergraduate,Archaeology,Sri Krishnadevaraya University,
India,Undergraduate,Architecture,Manav Rachna International Uni ...,
India,Undergraduate,Architecture,VIT University, Private - for ...,
India,Undergraduate,Architecture,SRM University,
India,Undergraduate,Architecture,Indian Institute of Technology ...,#431-440 QS World University Rankings 2018
India,Undergraduate,Architecture,Savitribai Phule Pune University,#801-1000 QS World University Rankings 2018
India,Undergraduate,Architecture,Pondicherry University,
India,Undergraduate,Architecture,Tezpur University,
India,Undergraduate,Architecture,Sinhgad Group of Institutes,
India,Undergraduate,Architecture,SVKM's Narsee Monjee Institute ...,
India,Undergraduate,Architecture,Bharath Institute of Higher Ed ...,
India,Undergraduate,Architecture,ACHARYA NAGARJUNA UNIVERSITY,
India,Undergraduate,Architecture,KALINGA INSTITUTE OF INDUSTRIA ...,
India,Undergraduate,Architecture,Alliance School of Business, A ...,
India,Undergraduate,Architecture,B.S. Abdur Rahman Crescent Uni ...,
India,Undergraduate,Area Studies,Indian Institute of Technology ...,#=264 QS World University Rankings 2018
India,Undergraduate,Area Studies,University of Calcutta,#751-800 QS World University Rankings 2018
India,Undergraduate,Area Studies,Pondicherry University,
India,Undergraduate,Area Studies,Tezpur University,
India,Undergraduate,Area Studies,Gujarat National Law University,
India,Undergraduate,Art & Design,Manav Rachna International Uni ...,
India,Undergraduate,Art & Design,SRM University,
India,Undergraduate,Art & Design,Indian Institute of Technology ...,#=293 QS World University Rankings 2018
India,Undergraduate,Art & Design,University of Delhi,#481-490 QS World University Rankings 2018
India,Undergraduate,Art & Design,University of Calcutta,#751-800 QS World University Rankings 2018
India,Undergraduate,Art & Design,Savitribai Phule Pune University,#801-1000 QS World University Rankings 2018
India,Undergraduate,Art & Design,ACHARYA NAGARJUNA UNIVERSITY,
India,Undergraduate,Art & Design,Sinhgad Group of Institutes,
India,Undergraduate,Art & Design,Pondicherry University,
India,Undergraduate,Art & Design,Banasthali Vidyapith,
India,Undergraduate,Art & Design,KALINGA INSTITUTE OF INDUSTRIA ...,
India,Undergraduate,Art & Design,Alliance School of Business, A ...,
India,Undergraduate,Art & Design,Tezpur University,
India,Undergraduate,Astronomy,Indian Institute of Science (I ...,#190 QS World University Rankings 2018
India,Undergraduate,Astronomy,Tezpur University,
India,Undergraduate,Biological Sciences,SRM University,
India,Undergraduate,Biological Sciences,VIT University, Private - for ...,
India,Undergraduate,Biological Sciences,Jawaharlal Nehru University,#N/A QS World University Rankings® 2014/15
India,Undergraduate,Biological Sciences,Indian Institute of Science (I ...,#190 QS World University Rankings 2018
India,Undergraduate,Biological Sciences,Indian Institute of Technology ...,#=264 QS World University Rankings 2018
India,Undergraduate,Biological Sciences,Indian Institute of Technology ...,#=293 QS World University Rankings 2018
