Country Name,Course Lavel,University Name,Course,Ranking,
Brazil,Undergraduate,Accounting and Finance,Universidade Anhembi Morumbi,,
Brazil,Undergraduate,Accounting and Finance,,,
Brazil,Undergraduate,Accounting and Finance,,,
Brazil,Undergraduate,Accounting and Finance,,,
Brazil,Undergraduate,Accounting and Finance,,,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal de Minas ...,,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal Fluminense,,
Brazil,Undergraduate,Accounting and Finance,Universidade de São Paulo,#121 QS World University Rankings 2018,
Brazil,Undergraduate,Accounting and Finance,Universidade Estadual de Campi ...,#=182 QS World University Rankings 2018,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal do Rio de ...,#311 QS World University Rankings 2018,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal de Santa ...,#751-800 QS World University Rankings 2018,
Brazil,Undergraduate,Accounting and Finance,Pontifícia Universidade Católi ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal do Ceará ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Accounting and Finance,Universidade do Estado de Mina ...,,
Brazil,Undergraduate,Accounting and Finance,Universidade Estadual de Goiàs,,
Brazil,Undergraduate,Accounting and Finance,Ibmec Sao Paulo,,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal de Uberlândia,,
Brazil,Undergraduate,Accounting and Finance,Universidade do Vale do Itajaí ...,,
Brazil,Undergraduate,Accounting and Finance,Universidade Estadual de Feira ...,,
Brazil,Undergraduate,Accounting and Finance,Universidade de Caxias do Sul,,
Brazil,Undergraduate,Accounting and Finance,Universidade de Ribeirão Preto,,
Brazil,Undergraduate,Accounting and Finance,IESB,,
Brazil,Undergraduate,Accounting and Finance,Universidade Federal do Mato Grosso,,
Brazil,Undergraduate,Accounting and Finance,UNIVERSIDADE ESTACIO DE SÁ,,
Brazil,Undergraduate,Accounting and Finance,Fundação Getulio Vargas (FGV),,
Brazil,Undergraduate,Accounting and Finance,Pontifícia Universidade Católi ...,,
Brazil,Undergraduate,Agriculture & Forestry,UNESP,#491-500 QS World University Rankings 2018,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal de Minas ...,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade de São Paulo,#121 QS World University Rankings 2018,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Estadual de Campi ...,#=182 QS World University Rankings 2018,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal do Rio de ...,#311 QS World University Rankings 2018,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal de Santa ...,#751-800 QS World University Rankings 2018,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal do Ceará ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Agriculture & Forestry,Universidade de Caxias do Sul,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Estadual de Feira ...,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal de Lavras,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade do Estado de Mina ...,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Estadual de Goiàs,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal de Uberlândia,,
Brazil,Undergraduate,Agriculture & Forestry,Universidade Federal do Mato Grosso,,
Brazil,Undergraduate,Anatomy & Physiology,Universidade Federal de Minas ...,,
Brazil,Undergraduate,Anatomy & Physiology,Universidade de São Paulo,#121 QS World University Rankings 2018,
Brazil,Undergraduate,Anatomy & Physiology,Universidade Federal do Rio de ...,#311 QS World University Rankings 2018,
Brazil,Undergraduate,Anatomy & Physiology,Universidade Federal de Santa ...,#751-800 QS World University Rankings 2018,
Brazil,Undergraduate,Anatomy & Physiology,Universidade Federal do Ceará ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Anatomy & Physiology,Pontifícia Universidade Católi ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Anatomy & Physiology,Universidade do Vale do Itajaí ...,,
Brazil,Undergraduate,Anatomy & Physiology,Universidade do Estado de Mina ...,,
Brazil,Undergraduate,Anatomy & Physiology,Universidade Federal de Uberlândia,,
Brazil,Undergraduate,Anatomy & Physiology,UNIVERSIDADE ESTACIO DE SÁ,,
Brazil,Undergraduate,Anatomy & Physiology,Universidade Estadual de Goiàs,,
Brazil,Undergraduate,Anthropology,Universidade Federal de Minas ...,,
Brazil,Undergraduate,Anthropology,Universidade Federal Fluminense,,
Brazil,Undergraduate,Anthropology,Universidade de São Paulo,#121 QS World University Rankings 2018,
Brazil,Undergraduate,Anthropology,Universidade Estadual de Campi ...,#=182 QS World University Rankings 2018,
Brazil,Undergraduate,Anthropology,Universidade Federal do Rio de ...,#311 QS World University Rankings 2018,
Brazil,Undergraduate,Anthropology,Universidade Federal de Santa ...,#751-800 QS World University Rankings 2018,
Brazil,Undergraduate,Anthropology,Universidade Federal do Mato Grosso,,
Brazil,Undergraduate,Archaeology,UNESP,#491-500 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Universidade Federal de Minas ...,,
Brazil,Undergraduate,Archaeology,Universidade Federal Fluminense,,
Brazil,Undergraduate,Archaeology,Universidade de São Paulo,#121 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Universidade Estadual de Campi ...,#=182 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Universidade Federal do Rio de ...,#311 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Pontifícia Universidade Católi ...,#501-550 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Universidade Federal de Santa ...,#751-800 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Universidade Federal do Ceará ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Pontifícia Universidade Católi ...,#801-1000 QS World University Rankings 2018,
Brazil,Undergraduate,Archaeology,Universidade do Estado de Mina ...,,
Brazil,Undergraduate,Archaeology,Universidade Federal de Uberlândia,,
Brazil,Undergraduate,Archaeology,Universidade de Caxias do Sul,,
Brazil,Undergraduate,Archaeology,Universidade Estadual de Feira ...,,
Brazil,Undergraduate,Archaeology,Fundação Getulio Vargas (FGV),,
