"1051","Bachelor of Commerce [B.Com] Get Detailed Fees","2,300"
"1051","Bachelor of Business Administration [BBA] Get Detailed Fees","2,300"
"1051","Bachelor of Computer Application [BCA] Get Detailed Fees","2,800"
"1051","Master of Science [M.Sc] Get Detailed Fees","4,800"
"1051","Master of Arts [M.A] Get Detailed Fees","4,000"
"1051","Master of Commerce [M.Com] Get Detailed Fees","3,900"
"1051","Master of Philosophy [M.Phil] Get Detailed Fees","9,200"
"1051","Ph.D",""
"1052","Bachelor of Science [B.Sc] Get Detailed Fees","2,907"
"1052","Bachelor of Arts [BA] Get Detailed Fees","2,007"
"1052","Bachelor of Commerce [B.Com] Get Detailed Fees","1,917"
"1052","Master of Arts [M.A] Get Detailed Fees","2,595"
"1052","Master of Science [M.Sc] Get Detailed Fees","17,025"
"1052","Master of Commerce [M.Com] Get Detailed Fees","6,645"
"1052","Ph.D",""
"1052","Diploma in Sericulture",""
"1052","Certificate in English",""
"1052","Certificate Course in Sericulture [CIS]",""
"1053","Master of Business Administration [MBA]",""
"1053","Bachelor of Science [B.Sc]",""
"1053","Bachelor of Arts [BA]",""
"1053","Bachelor of Commerce [B.Com]",""
"1053","Bachelor of Computer Application [BCA]",""
"1053","Master of Science [M.Sc]",""
"1053","Master of Arts [M.A]",""
"1053","Post Graduate Diploma",""
"1053","Master of Commerce [M.Com]",""
"1053","Master of Computer Applications [M.C.A]",""
"1053","Master of Computer Applications [M.C.A] {Lateral}",""
"1053","Master of Philosophy [M.Phil]",""
"1053","Certification",""
"1053","Ph.D",""
"1053","Diploma",""
"1054","Bachelor of Commerce [B.Com] Get Detailed Fees","1,700"
"1054","Bachelor of Arts [BA] (Economics) Get Detailed Fees","1,200"
"1054","Bachelor of Science [B.Sc] (Mathematics) Get Detailed Fees","1,425"
"1054","Master of Arts [MA] (Business Economics) Get Detailed Fees","1,313"
"1054","Master of Commerce [M.Com] Get Detailed Fees","1,563"
"1054","Master of Computer Applications [M.C.A] {Lateral}",""
"1054","Master of Science [M.Sc] (Mathematics) Get Detailed Fees","1,563"
"1054","Master of Computer Applications [M.C.A] Get Detailed Fees","30,000"
"1054","Ph.D",""
"1054","M.Phil. (Commerce)",""
"1061","Bachelor of Science [B.Sc]",""
"1061","Bachelor of Arts [BA]",""
"1061","Bachelor of Commerce [B.Com]",""
"1061","Master of Science [M.Sc] (Organic Chemistry)",""
"1062","Bachelor of Arts [BA] Get Detailed Fees","2,800"
"1062","Bachelor of Science [B.Sc] Get Detailed Fees","37,500"
"1062","Bachelor of Commerce [B.Com] Get Detailed Fees","20,000"
"1062","Bachelor of Business Administration [BBA] Get Detailed Fees","18,000"
