"44","Japan","Osaka City University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/osaka-city-university_592560cf2aeae70239af4c5b_medium.jpg","null","null","/node/297633","","Public","High","8,313","982","337","null",
"45","Japan","Kumamoto University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kumamoto-university_326_medium.jpg","null","null","/node/294119","","Public","Very High","10,235","1,315","393","null",
"46","Japan","Tokyo University of Agriculture and Technology","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokyo-university-of-agriculture-and-technology_1030_medium.jpg","null","null","/node/296772","","Public","Very High","5,795","412","328","null",
"47","Japan","Nagasaki University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/nagasaki-university_592560cf2aeae70239af4c2d_medium.jpg","null","null","/node/294833","","Public","Very High","9,162","1,366","380","null",
"48","Japan","Kanazawa University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kanazawa-university_592560cf2aeae70239af4bb7_medium.jpg","null","null","/node/294171","","Public","Very High","10,236","1,210","435","null",
"49","Japan","Gifu University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/gifu-university_592560cf2aeae70239af4b69_medium.jpg","null","null","/node/294325","","Public","High","7,323","904","284","null",
"50","Japan","Tokyo Metropolitan University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokyo-metropolitan-university_592560cf2aeae70239af4ce9_medium.jpg","null","null","/node/297247","","Public","Very High","9,263","929","402","null",
"51","Japan","Kagoshima University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/kagoshima-university_592560cf2aeae70239af4bb6_medium_0.jpg","null","null","/node/294173","","Public","High","10,541","1,380","294","null",
"52","Japan","Osaka Prefecture University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/osaka-prefecture-university-_592560cf2aeae70239af4e81_medium.jpg","null","null","/node/297328","","Public","Very High","7,827","808","182","null",
"53","Japan","Niigata University","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/niigata-university_592560cf2aeae70239af4c46_medium.jpg","null","null","/node/294779","","Public","High","12,562","1,454","324","null",
"54","Japan","Tokyo University of Science","null","https://www.topuniversities.com/sites/default/files/styles/logo_90x90/public/tokyo-university-of-science_14169_medium.jpg","null","null","/node/293648","","Private","Very High","19,732","1,212","457","null",
